start_location,end_location,time_road
AT12,ES43,35
AT12,ES51,23
AT12,ES52,28
AT12,ES53,32
AT12,ES61,35
AT12,ES62,30
AT12,ES63,39
AT12,ES64,40
AT12,ES70,91
AT12,FI19,38
AT12,FI1B,35
AT12,FI1C,37
AT12,FI1D,41
AT12,FI20,32
AT12,FR10,17
AT12,FR21,15
AT12,FR22,17
AT12,FR23,18
AT12,FR24,19
AT12,FR25,20
AT12,FR26,17
AT12,FR30,16
AT12,FR41,13
AT12,FR42,12
AT12,FR43,14
AT12,FR51,21
AT12,FR52,22
AT12,FR53,23
AT12,FR61,24
AT12,FR62,22
AT12,FR63,20
AT12,FR71,16
AT12,FR72,18
AT12,FR81,19
AT12,FR82,16
AT12,FR83,21
AT12,HR03,10
AT12,HR04,7
AT12,HU10,5
AT12,HU21,5
AT12,HU22,4
AT12,HU23,7
AT12,HU31,7
AT12,HU32,8
AT12,HU33,8
AT12,IE01,33
AT12,IE02,32
AT12,ITC1,12
AT12,ITC2,13
AT12,ITC3,12
AT12,ITC4,11
AT12,ITF1,14
AT12,ITF2,16
AT12,ITF3,16
AT12,ITF4,18
AT12,ITF5,18
AT12,ITF6,21
AT12,ITG1,25
AT12,ITG2,29
AT12,ITH1,9
AT12,ITH2,10
AT12,ITH3,9
AT12,ITH4,8
AT12,ITH5,11
AT12,ITI1,12
AT12,ITI2,13
AT12,ITI3,12
AT12,ITI4,14
AT12,LT00,23
AT12,LU00,13
AT12,LV00,27
AT12,MT00,31
AT12,NL11,16
AT12,NL12,16
AT12,NL13,16
AT12,NL21,15
AT12,NL22,15
AT12,NL23,15
AT12,NL31,15
AT12,NL32,16
AT12,NL33,16
AT12,NL34,16
AT12,NL41,15
AT12,NL42,14
AT12,PL11,12
AT12,PL12,13
AT12,PL21,8
AT12,PL22,7
AT12,PL31,14
AT12,PL32,11
AT12,PL33,11
AT12,PL34,17
AT12,PL41,14
AT12,PL42,15
AT12,PL43,12
AT12,PL51,10
AT12,PL52,8
AT12,PL61,15
AT12,PL62,17
AT12,PL63,16
AT12,PT11,36
AT12,PT15,39
AT12,PT16,37
AT12,PT17,38
AT12,PT18,38
AT12,PT20,103
AT12,PT30,80
AT12,RO11,13
AT12,RO12,14
AT12,RO21,19
AT12,RO22,19
AT12,RO31,16
AT12,RO32,16
AT12,RO41,13
AT12,RO42,9
AT12,SE11,26
AT12,SE12,25
AT12,SE21,22
AT12,SE22,19
AT12,SE23,22
AT12,SE31,26
AT12,SE32,31
AT12,SE33,36
AT12,SI01,5
AT12,SI02,6
AT12,SK01,3
AT12,SK02,4
AT12,SK03,5
AT12,SK04,9
AT12,UKC1,25
AT12,UKC2,26
AT12,UKD1,26
AT12,UKD3,25
AT12,UKD4,25
AT12,UKD6,24
AT12,UKD7,25
AT12,UKE1,24
AT12,UKE2,25
AT12,UKE3,24
AT12,UKE4,25
AT12,UKF1,24
AT12,UKF2,23
AT12,UKF3,24
AT12,UKG1,23
AT12,UKG2,24
AT12,UKG3,23
AT12,UKH1,23
AT12,UKH2,22
AT12,UKH3,21
AT12,UKI1,22
AT12,UKI2,21
AT12,UKJ1,22
AT12,UKJ2,22
AT12,UKJ3,23
AT12,UKJ4,20
AT12,UKK1,23
AT12,UKK2,23
AT12,UKK3,26
AT12,UKK4,25
AT12,UKL1,25
AT12,UKL2,24
AT12,UKM2,29
AT12,UKM3,28
AT12,UKM5,31
AT12,UKM6,32
AT12,UKN0,32
AT13,AT11,2
AT13,AT12,2
AT13,AT13,1
AT13,AT21,7
AT13,AT22,4
AT13,AT31,4
AT13,AT32,6
AT13,AT33,7
AT13,AT34,9
AT13,BE10,15
AT13,BE21,15
AT13,BE22,14
AT13,BE23,16
AT13,BE24,15
AT13,BE25,17
AT13,BE31,15
AT13,BE32,16
AT13,BE33,14
AT13,BE34,14
AT13,BE35,15
AT13,BG31,16
AT13,BG32,18
AT13,BG33,20
AT13,BG34,20
AT13,BG41,17
AT13,BG42,18
AT13,CY00,42
AT13,CZ01,6
AT13,CZ02,6
AT13,CZ03,7
AT13,CZ04,7
AT13,CZ05,7
AT13,CZ06,4
AT13,CZ07,4
AT13,CZ08,5
AT13,DE11,10
AT13,DE12,11
AT13,DE13,12
AT13,DE14,10
AT13,DE21,7
AT13,DE22,6
AT13,DE23,7
AT13,DE24,9
AT13,DE25,8
AT13,DE26,9
AT13,DE27,9
AT13,DE30,11
AT13,DE40,11
AT13,DE50,14
AT13,DE60,15
AT13,DE71,11
AT13,DE72,11
AT13,DE73,12
AT13,DE80,13
AT13,DE91,12
AT13,DE92,13
AT13,DE93,14
AT13,DE94,15
AT13,DEA1,14
AT13,DEA2,13
AT13,DEA3,14
AT13,DEA4,14
AT13,DEA5,14
AT13,DEB1,12
AT13,DEB2,13
AT13,DEB3,11
AT13,DEC0,12
AT13,DED2,8
AT13,DED4,9
AT13,DED5,9
AT13,DEE0,10
AT13,DEF0,15
AT13,DEG0,11
AT13,DK01,19
AT13,DK02,18
AT13,DK03,18
AT13,DK04,19
AT13,DK05,20
AT13,EE00,29
AT13,EL11,20
AT13,EL12,18
AT13,EL13,19
AT13,EL14,20
AT13,EL21,21
AT13,EL22,25
AT13,EL23,23
AT13,EL24,22
AT13,EL25,26
AT13,EL30,24
AT13,EL41,31
AT13,EL42,34
AT13,EL43,39
AT13,ES11,36
AT13,ES12,32
AT13,ES13,29
AT13,ES21,27
AT13,ES22,28
AT13,ES23,28
AT13,ES24,26
AT13,ES30,30
AT13,ES41,31
AT13,ES42,30
AT13,ES43,35
AT13,ES51,22
AT13,ES52,28
AT13,ES53,32
AT13,ES61,34
AT13,ES62,29
AT13,ES63,39
AT13,ES64,40
AT13,ES70,91
AT13,FI19,38
AT13,FI1B,35
AT13,FI1C,36
AT13,FI1D,41
AT13,FI20,32
AT13,FR10,17
AT13,FR21,15
AT13,FR22,17
AT13,FR23,19
AT13,FR24,19
AT13,FR25,20
AT13,FR26,17
AT13,FR30,17
AT13,FR41,13
AT13,FR42,13
AT13,FR43,15
AT13,FR51,21
AT13,FR52,22
AT13,FR53,23
AT13,FR61,24
AT13,FR62,22
AT13,FR63,21
AT13,FR71,17
AT13,FR72,19
AT13,FR81,19
AT13,FR82,16
AT13,FR83,21
AT13,HR03,9
AT13,HR04,7
AT13,HU10,5
AT13,HU21,4
AT13,HU22,3
AT13,HU23,7
AT13,HU31,7
AT13,HU32,8
AT13,HU33,7
AT13,IE01,34
AT13,IE02,33
AT13,ITC1,13
AT13,ITC2,13
AT13,ITC3,13
AT13,ITC4,11
AT13,ITF1,14
AT13,ITF2,16
AT13,ITF3,16
AT13,ITF4,18
AT13,ITF5,18
AT13,ITF6,20
AT13,ITG1,25
AT13,ITG2,28
AT13,ITH1,9
AT13,ITH2,10
AT13,ITH3,9
AT13,ITH4,8
AT13,ITH5,11
AT13,ITI1,12
AT13,ITI2,13
AT13,ITI3,12
AT13,ITI4,14
AT13,LT00,22
AT13,LU00,13
AT13,LV00,25
AT13,MT00,31
AT13,NL11,16
AT13,NL12,16
AT13,NL13,16
AT13,NL21,15
AT13,NL22,15
AT13,NL23,16
AT13,NL31,16
AT13,NL32,16
AT13,NL33,16
AT13,NL34,16
AT13,NL41,15
AT13,NL42,14
AT13,PL11,11
AT13,PL12,13
AT13,PL21,8
AT13,PL22,7
AT13,PL31,14
AT13,PL32,10
AT13,PL33,11
AT13,PL34,16
AT13,PL41,14
AT13,PL42,15
AT13,PL43,12
AT13,PL51,9
AT13,PL52,8
AT13,PL61,14
AT13,PL62,17
AT13,PL63,16
AT13,PT11,36
AT13,PT15,40
AT13,PT16,37
AT13,PT17,38
AT13,PT18,38
AT13,PT20,105
AT13,PT30,80
AT13,RO11,12
AT13,RO12,13
AT13,RO21,19
AT13,RO22,18
AT13,RO31,15
AT13,RO32,16
AT13,RO41,13
AT13,RO42,9
AT13,SE11,26
AT13,SE12,25
AT13,SE21,23
AT13,SE22,19
AT13,SE23,23
AT13,SE31,27
AT13,SE32,31
AT13,SE33,36
AT13,SI01,5
AT13,SI02,6
AT13,SK01,2
AT13,SK02,3
AT13,SK03,5
AT13,SK04,9
AT13,UKC1,26
AT13,UKC2,26
AT13,UKD1,27
AT13,UKD3,25
AT13,UKD4,25
AT13,UKD6,25
AT13,UKD7,25
AT13,UKE1,25
AT13,UKE2,25
AT13,UKE3,24
AT13,UKE4,25
AT13,UKF1,24
AT13,UKF2,23
AT13,UKF3,24
AT13,UKG1,24
AT13,UKG2,24
AT13,UKG3,24
AT13,UKH1,23
AT13,UKH2,22
AT13,UKH3,22
AT13,UKI1,22
AT13,UKI2,22
AT13,UKJ1,23
AT13,UKJ2,22
AT13,UKJ3,23
AT13,UKJ4,21
AT13,UKK1,24
AT13,UKK2,24
AT13,UKK3,26
AT13,UKK4,25
AT13,UKL1,25
AT13,UKL2,24
AT13,UKM2,29
AT13,UKM3,28
AT13,UKM5,32
AT13,UKM6,32
AT13,UKN0,33
