start_location,end_location,total_cost
AT12,IE02,3594
AT12,ITC1,1566
AT12,ITC2,1579
AT12,ITC3,1643
AT12,ITC4,1348
AT12,ITF1,1807
AT12,ITF2,2023
AT12,ITF3,2190
AT12,ITF4,2360
AT12,ITF5,2371
AT12,ITF6,2760
AT12,ITG1,3270
AT12,ITG2,2945
AT12,ITH1,959
AT12,ITH2,1127
AT12,ITH3,1061
AT12,ITH4,800
AT12,ITH5,1299
AT12,ITI1,1441
AT12,ITI2,1470
AT12,ITI3,1552
AT12,ITI4,1829
AT12,LT00,1424
AT12,LU00,1467
AT12,LV00,1695
AT12,MT00,3753
AT12,NL11,1682
AT12,NL12,1745
AT12,NL13,1707
AT12,NL21,1626
AT12,NL22,1668
AT12,NL23,1767
AT12,NL31,1783
AT12,NL32,1827
AT12,NL33,1838
AT12,NL34,1845
AT12,NL41,1692
AT12,NL42,1575
AT12,PL11,782
AT12,PL12,910
AT12,PL21,624
AT12,PL22,520
AT12,PL31,1030
AT12,PL32,877
AT12,PL33,759
AT12,PL34,1111
AT12,PL41,850
AT12,PL42,1148
AT12,PL43,847
AT12,PL51,607
AT12,PL52,564
AT12,PL61,1039
AT12,PL62,1196
AT12,PL63,1266
AT12,PT11,3751
AT12,PT15,4244
AT12,PT16,3809
AT12,PT17,4042
AT12,PT18,3966
AT12,PT20,9777
AT12,PT30,7738
AT12,RO11,1018
AT12,RO12,1204
AT12,RO21,1412
AT12,RO22,1634
AT12,RO31,1436
AT12,RO32,1482
AT12,RO41,1316
AT12,RO42,1053
AT12,SE11,2852
AT12,SE12,2805
AT12,SE21,2498
AT12,SE22,2219
AT12,SE23,2513
AT12,SE31,2881
AT12,SE32,3331
AT12,SE33,3829
AT12,SI01,491
AT12,SI02,623
AT12,SK01,195
AT12,SK02,313
AT12,SK03,462
AT12,SK04,731
AT12,UKC1,2870
AT12,UKC2,2929
AT12,UKD1,2970
AT12,UKD3,2824
AT12,UKD4,2857
AT12,UKD6,2782
AT12,UKD7,2782
AT12,UKE1,2751
AT12,UKE2,2835
AT12,UKE3,2737
AT12,UKE4,2820
AT12,UKF1,2693
AT12,UKF2,2608
AT12,UKF3,2647
AT12,UKG1,2647
AT12,UKG2,2725
AT12,UKG3,2644
AT12,UKH1,2585
AT12,UKH2,2530
AT12,UKH3,2459
AT12,UKI1,2587
AT12,UKI2,2529
AT12,UKJ1,2576
AT12,UKJ2,2503
AT12,UKJ3,2618
AT12,UKJ4,2402
AT12,UKK1,2634
AT12,UKK2,2654
AT12,UKK3,2882
AT12,UKK4,2777
AT12,UKL1,2766
AT12,UKL2,2730
AT12,UKM2,3198
AT12,UKM3,3137
AT12,UKM5,3403
AT12,UKM6,3473
AT12,UKN0,3625
AT13,AT11,180
AT13,AT12,144
AT13,AT13,71
AT13,AT21,575
AT13,AT22,347
AT13,AT31,414
AT13,AT32,626
AT13,AT33,843
AT13,AT34,1122
AT13,BE10,1776
AT13,BE21,1805
AT13,BE22,1691
AT13,BE23,1876
AT13,BE24,1818
AT13,BE25,1968
AT13,BE31,1780
AT13,BE32,1848
AT13,BE33,1662
AT13,BE34,1595
AT13,BE35,1729
AT13,BG31,1410
AT13,BG32,1538
AT13,BG33,1636
AT13,BG34,1698
AT13,BG41,1482
AT13,BG42,1584
AT13,CY00,3917
AT13,CZ01,469
AT13,CZ02,480
AT13,CZ03,436
AT13,CZ04,596
AT13,CZ05,460
AT13,CZ06,233
AT13,CZ07,304
AT13,CZ08,404
AT13,DE11,1047
AT13,DE12,1128
AT13,DE13,1285
AT13,DE14,1052
AT13,DE21,742
AT13,DE22,625
AT13,DE23,769
AT13,DE24,938
AT13,DE25,873
AT13,DE26,1037
AT13,DE27,889
AT13,DE30,1064
AT13,DE40,1026
AT13,DE50,1475
AT13,DE60,1592
AT13,DE71,1188
AT13,DE72,1293
AT13,DE73,1270
AT13,DE80,1401
AT13,DE91,1178
AT13,DE92,1255
AT13,DE93,1411
AT13,DE94,1524
AT13,DEA1,1493
AT13,DEA2,1422
AT13,DEA3,1505
