start_location,end_location,total_distance
AT12,PL33,1050
AT12,PL34,1623
AT12,PL41,1099
AT12,PL42,1454
AT12,PL43,1075
AT12,PL51,761
AT12,PL52,730
AT12,PL61,1320
AT12,PL62,1601
AT12,PL63,1604
AT12,PT11,4746
AT12,PT15,5345
AT12,PT16,4873
AT12,PT17,5143
AT12,PT18,5066
AT12,PT20,7955
AT12,PT30,7108
AT12,RO11,1257
AT12,RO12,1582
AT12,RO21,1945
AT12,RO22,2299
AT12,RO31,1898
AT12,RO32,2019
AT12,RO41,1673
AT12,RO42,1157
AT12,SE11,3001
AT12,SE12,2954
AT12,SE21,2444
AT12,SE22,2112
AT12,SE23,2577
AT12,SE31,3099
AT12,SE32,3864
AT12,SE33,4566
AT12,SI01,562
AT12,SI02,698
AT12,SK01,231
AT12,SK02,387
AT12,SK03,613
AT12,SK04,906
AT12,UKC1,3266
AT12,UKC2,3334
AT12,UKD1,3450
AT12,UKD3,3217
AT12,UKD4,3305
AT12,UKD6,3198
AT12,UKD7,3251
AT12,UKE1,3065
AT12,UKE2,3198
AT12,UKE3,3072
AT12,UKE4,3172
AT12,UKF1,3024
AT12,UKF2,2908
AT12,UKF3,2934
AT12,UKG1,3028
AT12,UKG2,3113
AT12,UKG3,3014
AT12,UKH1,2769
AT12,UKH2,2766
AT12,UKH3,2668
AT12,UKI1,2681
AT12,UKI2,2685
AT12,UKJ1,2824
AT12,UKJ2,2685
AT12,UKJ3,2860
AT12,UKJ4,2548
AT12,UKK1,3025
AT12,UKK2,3006
AT12,UKK3,3399
AT12,UKK4,3206
AT12,UKL1,3241
AT12,UKL2,3161
AT12,UKM2,3686
AT12,UKM3,3707
AT12,UKM5,3877
AT12,UKM6,4009
AT12,UKN0,3900
AT13,AT11,165
AT13,AT12,115
AT13,AT13,21
AT13,AT21,559
AT13,AT22,341
AT13,AT31,393
AT13,AT32,591
AT13,AT33,861
AT13,AT34,1151
AT13,BE10,2043
AT13,BE21,2040
AT13,BE22,1893
AT13,BE23,2126
AT13,BE24,2048
AT13,BE25,2239
AT13,BE31,2025
AT13,BE32,2102
AT13,BE33,1858
AT13,BE34,1826
AT13,BE35,1972
AT13,BG31,1779
AT13,BG32,2068
AT13,BG33,2289
AT13,BG34,2369
AT13,BG41,1904
AT13,BG42,2154
AT13,CY00,4731
AT13,CZ01,591
AT13,CZ02,598
AT13,CZ03,544
AT13,CZ04,771
AT13,CZ05,556
AT13,CZ06,278
AT13,CZ07,381
AT13,CZ08,537
AT13,DE11,1168
AT13,DE12,1282
AT13,DE13,1398
AT13,DE14,1154
AT13,DE21,779
AT13,DE22,633
AT13,DE23,801
AT13,DE24,995
AT13,DE25,945
AT13,DE26,1160
AT13,DE27,967
AT13,DE30,1219
AT13,DE40,1188
AT13,DE50,1741
AT13,DE60,1740
AT13,DE71,1343
AT13,DE72,1424
AT13,DE73,1384
AT13,DE80,1599
AT13,DE91,1399
AT13,DE92,1525
AT13,DE93,1660
AT13,DE94,1817
AT13,DEA1,1743
AT13,DEA2,1665
AT13,DEA3,1752
AT13,DEA4,1620
AT13,DEA5,1656
AT13,DEB1,1518
AT13,DEB2,1636
AT13,DEB3,1386
AT13,DEC0,1565
AT13,DED2,869
AT13,DED4,933
AT13,DED5,1047
AT13,DEE0,1205
AT13,DEF0,1823
AT13,DEG0,1176
AT13,DK01,2009
AT13,DK02,2015
AT13,DK03,2182
AT13,DK04,2318
AT13,DK05,2517
AT13,EE00,3023
AT13,EL11,2460
AT13,EL12,2256
AT13,EL13,2282
AT13,EL14,2523
AT13,EL21,2526
AT13,EL22,2729
AT13,EL23,2906
AT13,EL24,2789
AT13,EL25,3188
AT13,EL30,3015
AT13,EL41,3234
AT13,EL42,3564
AT13,EL43,3739
AT13,ES11,4645
AT13,ES12,4127
AT13,ES13,3808
AT13,ES21,3582
AT13,ES22,3589
AT13,ES23,3716
AT13,ES24,3668
AT13,ES30,4236
AT13,ES41,4067
AT13,ES42,4258
AT13,ES43,4782
AT13,ES51,3205
AT13,ES52,3982
AT13,ES53,3596
AT13,ES61,4869
AT13,ES62,4228
AT13,ES63,5170
AT13,ES64,4943
AT13,ES70,7890
AT13,FI19,3578
AT13,FI1B,3240
AT13,FI1C,3395
AT13,FI1D,4215
AT13,FI20,3428
AT13,FR10,2295
AT13,FR21,1940
AT13,FR22,2271
AT13,FR23,2552
AT13,FR24,2483
AT13,FR25,2769
AT13,FR26,2120
AT13,FR30,2268
AT13,FR41,1672
AT13,FR42,1483
AT13,FR43,1739
AT13,FR51,2924
AT13,FR52,3170
AT13,FR53,2905
AT13,FR61,3117
AT13,FR62,2992
AT13,FR63,2666
AT13,FR71,2085
AT13,FR72,2344
AT13,FR81,2686
AT13,FR82,2254
AT13,FR83,2021
AT13,HR03,1106
AT13,HR04,673
AT13,HU10,500
AT13,HU21,394
AT13,HU22,266
AT13,HU23,573
AT13,HU31,719
AT13,HU32,850
AT13,HU33,744
AT13,IE01,4068
AT13,IE02,3854
AT13,ITC1,1748
AT13,ITC2,1786
AT13,ITC3,1743
AT13,ITC4,1467
AT13,ITF1,1787
AT13,ITF2,1999
AT13,ITF3,2171
AT13,ITF4,2330
AT13,ITF5,2322
AT13,ITF6,2745
AT13,ITG1,3177
AT13,ITG2,2565
AT13,ITH1,1019
AT13,ITH2,1145
AT13,ITH3,1116
AT13,ITH4,836
AT13,ITH5,1377
AT13,ITI1,1579
AT13,ITI2,1652
AT13,ITI3,1580
AT13,ITI4,1927
AT13,LT00,2085
AT13,LU00,1724
AT13,LV00,2478
AT13,MT00,3472
AT13,NL11,2007
AT13,NL12,2105
AT13,NL13,1988
AT13,NL21,1927
AT13,NL22,1937
AT13,NL23,2066
AT13,NL31,2043
AT13,NL32,2103
AT13,NL33,2129
AT13,NL34,2159
AT13,NL41,1983
AT13,NL42,1826
AT13,PL11,1010
AT13,PL12,1246
AT13,PL21,808
AT13,PL22,687
AT13,PL31,1351
AT13,PL32,1123
AT13,PL33,1006
AT13,PL34,1599
AT13,PL41,1054
AT13,PL42,1476
AT13,PL43,1065
AT13,PL51,745
AT13,PL52,704
AT13,PL61,1291
AT13,PL62,1584
AT13,PL63,1613
AT13,PT11,4772
AT13,PT15,5407
AT13,PT16,4906
AT13,PT17,5197
AT13,PT18,5053
AT13,PT20,8057
AT13,PT30,7149
AT13,RO11,1169
AT13,RO12,1538
AT13,RO21,1912
AT13,RO22,2214
AT13,RO31,1820
AT13,RO32,1944
AT13,RO41,1576
AT13,RO42,1086
AT13,SE11,3009
AT13,SE12,2943
AT13,SE21,2471
AT13,SE22,2089
AT13,SE23,2667
AT13,SE31,3230
AT13,SE32,3827
AT13,SE33,4652
AT13,SI01,533
AT13,SI02,696
AT13,SK01,150
AT13,SK02,319
AT13,SK03,551
AT13,SK04,844
AT13,UKC1,3310
AT13,UKC2,3373
AT13,UKD1,3480
AT13,UKD3,3258
AT13,UKD4,3335
AT13,UKD6,3237
AT13,UKD7,3306
AT13,UKE1,3095
AT13,UKE2,3217
AT13,UKE3,3122
AT13,UKE4,3207
AT13,UKF1,3076
AT13,UKF2,2952
AT13,UKF3,2977
AT13,UKG1,3072
AT13,UKG2,3152
AT13,UKG3,3075
AT13,UKH1,2801
AT13,UKH2,2812
AT13,UKH3,2707
AT13,UKI1,2738
AT13,UKI2,2733
AT13,UKJ1,2869
AT13,UKJ2,2723
AT13,UKJ3,2901
AT13,UKJ4,2613
AT13,UKK1,3067
AT13,UKK2,3055
AT13,UKK3,3460
AT13,UKK4,3253
AT13,UKL1,3305
AT13,UKL2,3207
AT13,UKM2,3738
AT13,UKM3,3756
AT13,UKM5,3900
AT13,UKM6,4028
AT13,UKN0,3963
AT21,AT11,490
AT21,AT12,557
AT21,AT13,559
AT21,AT21,92
AT21,AT22,281
AT21,AT31,440
AT21,AT32,344
AT21,AT33,530
AT21,AT34,855
AT21,BE10,1934
AT21,BE21,1959
AT21,BE22,1838
AT21,BE23,2024
AT21,BE24,1937
AT21,BE25,2155
AT21,BE31,1895
AT21,BE32,1953
AT21,BE33,1777
AT21,BE34,1680
AT21,BE35,1834
AT21,BG31,1911
AT21,BG32,2261
AT21,BG33,2542
AT21,BG34,2460
AT21,BG41,1943
AT21,BG42,2213
AT21,CY00,4755
AT21,CZ01,890
AT21,CZ02,912
AT21,CZ03,753
AT21,CZ04,1024
AT21,CZ05,1015
AT21,CZ06,783
AT21,CZ07,922
AT21,CZ08,1070
AT21,DE11,1023
AT21,DE12,1144
AT21,DE13,1180
AT21,DE14,938
AT21,DE21,591
AT21,DE22,609
AT21,DE23,797
AT21,DE24,1012
AT21,DE25,908
AT21,DE26,1138
AT21,DE27,779
AT21,DE30,1531
AT21,DE40,1522
AT21,DE50,1892
AT21,DE60,1945
AT21,DE71,1288
AT21,DE72,1393
AT21,DE73,1378
AT21,DE80,1904
AT21,DE91,1547
AT21,DE92,1699
AT21,DE93,1864
AT21,DE94,1919
AT21,DEA1,1716
AT21,DEA2,1633
AT21,DEA3,1755
AT21,DEA4,1650
AT21,DEA5,1640
AT21,DEB1,1466
AT21,DEB2,1533
AT21,DEB3,1259
AT21,DEC0,1396
AT21,DED2,1172
AT21,DED4,1147
AT21,DED5,1288
AT21,DEE0,1415
AT21,DEF0,2056
AT21,DEG0,1256
AT21,DK01,2453
AT21,DK02,2403
AT21,DK03,2408
AT21,DK04,2553
AT21,DK05,2771
AT21,EE00,3609
AT21,EL11,2480
AT21,EL12,2262
AT21,EL13,2233
AT21,EL14,2496
AT21,EL21,2481
AT21,EL22,2649
AT21,EL23,2839
AT21,EL24,2742
AT21,EL25,3120
AT21,EL30,2986
AT21,EL41,3292
AT21,EL42,3553
AT21,EL43,3706
AT21,ES11,4241
AT21,ES12,3738
AT21,ES13,3397
AT21,ES21,3220
AT21,ES22,3158
AT21,ES23,3363
AT21,ES24,3082
AT21,ES30,3722
AT21,ES41,3681
AT21,ES42,3731
AT21,ES43,4298
AT21,ES51,2647
AT21,ES52,3414
AT21,ES53,3040
AT21,ES61,4317
AT21,ES62,3697
AT21,ES63,4620
AT21,ES64,4358
AT21,ES70,7340
AT21,FI19,4097
AT21,FI1B,3739
AT21,FI1C,3900
AT21,FI1D,4776
AT21,FI20,3800
AT21,FR10,2135
AT21,FR21,1789
AT21,FR22,2085
AT21,FR23,2404
AT21,FR24,2250
AT21,FR25,2592
AT21,FR26,1862
AT21,FR30,2136
AT21,FR41,1496
AT21,FR42,1272
AT21,FR43,1481
AT21,FR51,2687
AT21,FR52,2947
AT21,FR53,2613
AT21,FR61,2783
AT21,FR62,2493
AT21,FR63,2340
AT21,FR71,1653
AT21,FR72,2010
AT21,FR81,2142
AT21,FR82,1691
AT21,FR83,1437
AT21,HR03,764
AT21,HR04,549
AT21,HU10,916
AT21,HU21,742
AT21,HU22,561
AT21,HU23,745
AT21,HU31,1192
AT21,HU32,1299
AT21,HU33,1067
AT21,IE01,3974
AT21,IE02,3718
AT21,ITC1,1202
AT21,ITC2,1245
AT21,ITC3,1179
AT21,ITC4,920
AT21,ITF1,1283
AT21,ITF2,1489
AT21,ITF3,1650
AT21,ITF4,1838
AT21,ITF5,1844
AT21,ITF6,2239
AT21,ITG1,2665
AT21,ITG2,1962
AT21,ITH1,479
AT21,ITH2,633
AT21,ITH3,552
AT21,ITH4,297
AT21,ITH5,792
AT21,ITI1,1000
AT21,ITI2,1100
AT21,ITI3,1011
AT21,ITI4,1369
AT21,LT00,2610
AT21,LU00,1559
AT21,LV00,3022
AT21,MT00,2990
AT21,NL11,2101
AT21,NL12,2141
AT21,NL13,2028
AT21,NL21,1924
AT21,NL22,1905
AT21,NL23,2068
AT21,NL31,2007
AT21,NL32,2096
AT21,NL33,2096
AT21,NL34,2105
AT21,NL41,1932
AT21,NL42,1779
AT21,PL11,1524
AT21,PL12,1780
AT21,PL21,1325
AT21,PL22,1219
AT21,PL31,1902
AT21,PL32,1669
AT21,PL33,1552
AT21,PL34,2144
AT21,PL41,1566
AT21,PL42,1840
AT21,PL43,1446
AT21,PL51,1224
AT21,PL52,1228
AT21,PL61,1799
AT21,PL62,2102
AT21,PL63,2106
AT21,PT11,4412
AT21,PT15,4884
AT21,PT16,4534
AT21,PT17,4801
AT21,PT18,4636
AT21,PT20,7628
AT21,PT30,6747
AT21,RO11,1603
AT21,RO12,1891
AT21,RO21,2313
AT21,RO22,2496
AT21,RO31,2133
AT21,RO32,2203
AT21,RO41,1800
AT21,RO42,1374
AT21,SE11,3510
AT21,SE12,3443
AT21,SE21,2981
AT21,SE22,2526
AT21,SE23,3027
AT21,SE31,3582
AT21,SE32,4296
AT21,SE33,5009
AT21,SI01,304
AT21,SI02,211
AT21,SK01,684
AT21,SK02,819
AT21,SK03,1061
AT21,SK04,1365
AT21,UKC1,3271
AT21,UKC2,3313
AT21,UKD1,3414
AT21,UKD3,3178
AT21,UKD4,3251
AT21,UKD6,3153
AT21,UKD7,3231
AT21,UKE1,3034
AT21,UKE2,3161
AT21,UKE3,3045
AT21,UKE4,3117
AT21,UKF1,2992
AT21,UKF2,2857
AT21,UKF3,2884
AT21,UKG1,2970
AT21,UKG2,3056
AT21,UKG3,2979
AT21,UKH1,2705
AT21,UKH2,2688
AT21,UKH3,2608
AT21,UKI1,2618
AT21,UKI2,2632
AT21,UKJ1,2737
AT21,UKJ2,2605
AT21,UKJ3,2764
AT21,UKJ4,2510
AT21,UKK1,2925
AT21,UKK2,2945
AT21,UKK3,3307
AT21,UKK4,3118
AT21,UKL1,3242
AT21,UKL2,3113
AT21,UKM2,3702
AT21,UKM3,3726
AT21,UKM5,3883
AT21,UKM6,4057
AT21,UKN0,3892
AT22,AT11,281
AT22,AT12,348
AT22,AT13,341
AT22,AT21,281
AT22,AT22,121
AT22,AT31,385
AT22,AT32,435
AT22,AT33,729
AT22,AT34,1021
AT22,BE10,2021
AT22,BE21,2014
AT22,BE22,1875
AT22,BE23,2105
AT22,BE24,1999
AT22,BE25,2208
AT22,BE31,1983
AT22,BE32,2053
AT22,BE33,1831
AT22,BE34,1785
AT22,BE35,1942
AT22,BG31,1820
AT22,BG32,2147
AT22,BG33,2390
AT22,BG34,2339
AT22,BG41,1878
AT22,BG42,2124
AT22,CY00,4704
AT22,CZ01,828
AT22,CZ02,836
AT22,CZ03,690
AT22,CZ04,983
AT22,CZ05,863
AT22,CZ06,590
AT22,CZ07,711
AT22,CZ08,858
AT22,DE11,1119
AT22,DE12,1234
AT22,DE13,1327
AT22,DE14,1068
AT22,DE21,706
AT22,DE22,619
AT22,DE23,788
AT22,DE24,1002
AT22,DE25,919
AT22,DE26,1146
AT22,DE27,896
AT22,DE30,1480
AT22,DE40,1468
AT22,DE50,1879
AT22,DE60,1914
AT22,DE71,1320
AT22,DE72,1417
AT22,DE73,1381
AT22,DE80,1854
AT22,DE91,1541
AT22,DE92,1680
AT22,DE93,1825
AT22,DE94,1928
AT22,DEA1,1743
AT22,DEA2,1670
AT22,DEA3,1769
AT22,DEA4,1645
AT22,DEA5,1671
AT22,DEB1,1500
AT22,DEB2,1612
AT22,DEB3,1358
AT22,DEC0,1527
AT22,DED2,1106
AT22,DED4,1088
AT22,DED5,1242
AT22,DEE0,1386
AT22,DEF0,2031
AT22,DEG0,1229
AT22,DK01,2348
AT22,DK02,2317
AT22,DK03,2366
AT22,DK04,2535
AT22,DK05,2727
AT22,EE00,3357
AT22,EL11,2400
AT22,EL12,2193
AT22,EL13,2194
AT22,EL14,2431
AT22,EL21,2427
AT22,EL22,2626
AT22,EL23,2785
AT22,EL24,2714
AT22,EL25,3075
AT22,EL30,2948
AT22,EL41,3226
AT22,EL42,3512
AT22,EL43,3646
AT22,ES11,4496
AT22,ES12,3969
AT22,ES13,3645
AT22,ES21,3436
AT22,ES22,3407
AT22,ES23,3582
AT22,ES24,3350
AT22,ES30,3937
AT22,ES41,3974
AT22,ES42,3967
AT22,ES43,4527
AT22,ES51,2877
AT22,ES52,3651
AT22,ES53,3286
AT22,ES61,4569
AT22,ES62,3919
AT22,ES63,4863
AT22,ES64,4610
AT22,ES70,7594
AT22,FI19,3881
AT22,FI1B,3553
AT22,FI1C,3735
AT22,FI1D,4577
AT22,FI20,3723
AT22,FR10,2236
AT22,FR21,1932
AT22,FR22,2222
AT22,FR23,2501
AT22,FR24,2429
AT22,FR25,2724
AT22,FR26,1994
AT22,FR30,2222
AT22,FR41,1631
AT22,FR42,1428
AT22,FR43,1654
AT22,FR51,2834
AT22,FR52,3054
AT22,FR53,2847
AT22,FR61,2980
AT22,FR62,2717
AT22,FR63,2551
AT22,FR71,1911
AT22,FR72,2232
AT22,FR81,2378
AT22,FR82,1947
AT22,FR83,1714
AT22,HR03,824
AT22,HR04,466
AT22,HU10,673
AT22,HU21,519
AT22,HU22,339
AT22,HU23,567
AT22,HU31,914
AT22,HU32,1047
AT22,HU33,856
AT22,IE01,4047
AT22,IE02,3815
AT22,ITC1,1438
AT22,ITC2,1490
AT22,ITC3,1427
AT22,ITC4,1164
AT22,ITF1,1477
AT22,ITF2,1674
AT22,ITF3,1863
AT22,ITF4,2006
AT22,ITF5,2037
AT22,ITF6,2437
AT22,ITG1,2872
AT22,ITG2,2234
AT22,ITH1,760
AT22,ITH2,923
AT22,ITH3,809
AT22,ITH4,544
AT22,ITH5,1059
AT22,ITI1,1249
AT22,ITI2,1331
AT22,ITI3,1238
AT22,ITI4,1592
AT22,LT00,2439
AT22,LU00,1682
AT22,LV00,2865
AT22,MT00,3186
AT22,NL11,2107
AT22,NL12,2133
AT22,NL13,2038
AT22,NL21,1959
AT22,NL22,1941
AT22,NL23,2078
